sale_id,sale_date,product_id,customer_id,total,rating
2609,01-09-2023,24,1,500,5
2716,04-09-2023,24,1,500,4
3025,14-09-2023,24,1,500,5
3581,02-10-2023,4,1,600,5
4504,04-11-2023,5,1,450,4
5079,23-11-2023,8,1,750,5
5452,05-12-2023,9,1,700,4
6630,15-01-2024,4,1,600,5
7322,10-02-2024,1,1,350,4
7357,11-02-2024,1,1,350,4
9069,24-04-2024,4,1,600,4
10138,03-09-2024,2,1,900,5
10349,27-09-2024,3,1,250,5
375,06-02-2023,11,1,550,4
484,16-02-2023,3,1,250,4
734,08-03-2023,26,1,900,5
1787,11-06-2023,13,1,450,4
1896,24-06-2023,21,1,650,4
2207,23-07-2023,22,1,400,5
2352,07-08-2023,24,1,500,4
2430,14-08-2023,24,1,500,5
3038,15-09-2023,22,1,400,4
3052,15-09-2023,24,1,500,4
3082,16-09-2023,23,1,250,4
3444,28-09-2023,21,1,650,4
5913,22-12-2023,14,1,320,4
6428,08-01-2024,14,1,320,5
135,16-01-2023,7,1,1500,5
158,18-01-2023,3,1,250,4
193,21-01-2023,24,1,500,4
1217,23-04-2023,1,1,350,4
1302,30-04-2023,13,1,450,4
1490,16-05-2023,2,1,900,5
1813,14-06-2023,19,1,300,4
1825,15-06-2023,17,1,600,5
1830,16-06-2023,1,1,350,4
2155,20-07-2023,2,1,900,4
4975,19-11-2023,8,1,750,5
2107,16-07-2023,2,1,900,5
766,11-03-2023,11,1,550,4
1150,15-04-2023,23,1,250,4
1661,01-06-2023,14,1,320,4
6687,17-01-2024,4,1,600,5
6921,26-01-2024,2,1,900,5
7933,01-03-2024,2,1,900,5
9853,29-07-2024,1,1,350,5
4888,17-11-2023,1,1,350,5
9432,01-06-2024,1,1,350,5
404,09-02-2023,13,2,450,5
546,22-02-2023,15,2,350,4
748,10-03-2023,3,2,250,4
1475,14-05-2023,18,2,450,4
2323,03-08-2023,24,2,500,4
2569,28-08-2023,24,2,500,4
4698,10-11-2023,10,2,1800,4
5657,13-12-2023,1,2,350,4
6316,04-01-2024,14,2,320,5
6829,23-01-2024,1,2,350,4
7168,04-02-2024,4,2,600,4
9499,11-06-2024,4,2,600,5
9760,16-07-2024,1,2,350,4
9815,23-07-2024,3,2,250,5
789,13-03-2023,13,2,450,5
1874,21-06-2023,25,2,600,5
3168,19-09-2023,22,2,400,5
3760,07-10-2023,10,2,1800,4
6385,06-01-2024,14,2,320,5
7926,01-03-2024,2,2,900,5
8708,26-03-2024,2,2,900,5
8905,05-04-2024,2,2,900,5
9673,03-07-2024,4,2,600,5
918,26-03-2023,23,2,250,4
1209,22-04-2023,14,2,320,5
2717,04-09-2023,24,2,500,5
6632,15-01-2024,4,2,600,5
7653,21-02-2024,1,2,350,4
10057,22-08-2024,2,2,900,4
7120,02-02-2024,4,2,600,5
7091,01-02-2024,3,2,250,5
8361,14-03-2024,3,2,250,5
929,27-03-2023,28,3,300,4
2490,20-08-2023,24,3,500,5
2619,01-09-2023,24,3,500,5
4498,04-11-2023,2,3,900,4
5014,21-11-2023,3,3,250,5
5982,24-12-2023,14,3,320,4
6638,16-01-2024,1,3,350,5
10211,12-09-2024,2,3,900,4
55,06-01-2023,23,3,250,5
413,09-02-2023,27,3,200,4
636,01-03-2023,20,3,800,4
1583,24-05-2023,15,3,350,5
1940,30-06-2023,20,3,800,5
2330,04-08-2023,24,3,500,5
5484,07-12-2023,4,3,600,5
6689,18-01-2024,1,3,350,5
655,02-03-2023,22,3,400,4
2250,27-07-2023,14,3,320,4
2372,09-08-2023,24,3,500,5
2817,07-09-2023,24,3,500,4
2880,09-09-2023,24,3,500,4
3137,18-09-2023,23,3,250,4
4516,04-11-2023,10,3,1800,4
5579,10-12-2023,2,3,900,5
9914,05-08-2024,2,3,900,4
10056,22-08-2024,1,3,350,5
3322,23-09-2023,24,3,500,4
6574,13-01-2024,3,3,250,5
6793,21-01-2024,2,3,900,5
8528,19-03-2024,4,3,600,5
668,03-03-2023,20,3,800,4
3302,23-09-2023,22,3,400,4
8786,29-03-2024,1,3,350,5
1928,29-06-2023,2,3,900,4
2900,10-09-2023,22,3,400,5
821,16-03-2023,4,4,600,5
1466,13-05-2023,25,4,600,4
4385,31-10-2023,9,4,700,5
6211,01-01-2024,14,4,320,5
6891,25-01-2024,2,4,900,4
8056,04-03-2024,1,4,350,5
9208,08-05-2024,2,4,900,5
10118,30-08-2024,3,4,250,5
73,09-01-2023,17,4,600,4
2426,14-08-2023,24,4,500,5
3949,14-10-2023,8,4,750,4
4638,08-11-2023,9,4,700,4
5509,08-12-2023,1,4,350,5
5705,15-12-2023,2,4,900,4
10132,01-09-2024,4,4,600,4
151,17-01-2023,17,4,600,4
2238,26-07-2023,14,4,320,5
2298,01-08-2023,8,4,750,4
3522,30-09-2023,23,4,250,5
3923,14-10-2023,1,4,350,4
8268,11-03-2024,2,4,900,5
733,08-03-2023,25,4,600,4
7283,08-02-2024,3,4,250,4
9166,04-05-2024,3,4,250,4
7953,01-03-2024,4,4,600,4
7118,02-02-2024,4,4,600,5
9419,30-05-2024,3,4,250,5
778,12-03-2023,11,5,550,4
1780,11-06-2023,1,5,350,4
2014,06-07-2023,19,5,300,4
2411,12-08-2023,24,5,500,4
3412,27-09-2023,21,5,650,5
3691,05-10-2023,10,5,1800,4
4861,15-11-2023,9,5,700,4
5023,21-11-2023,7,5,1500,5
5709,15-12-2023,5,5,450,4
6897,25-01-2024,3,5,250,4
7723,23-02-2024,3,5,250,4
7996,02-03-2024,2,5,900,5
8143,06-03-2024,3,5,250,4
8980,15-04-2024,2,5,900,4
9299,16-05-2024,4,5,600,4
885,22-03-2023,25,5,600,4
1233,24-04-2023,3,5,250,5
3306,23-09-2023,22,5,400,4
3865,12-10-2023,1,5,350,5
4382,31-10-2023,6,5,1200,5
4816,14-11-2023,7,5,1500,4
5194,27-11-2023,10,5,1800,5
6406,07-01-2024,14,5,320,4
6810,22-01-2024,1,5,350,4
9433,01-06-2024,2,5,900,4
10199,10-09-2024,1,5,350,5
2820,08-09-2023,21,5,650,4
5919,22-12-2023,14,5,320,5
8043,03-03-2024,3,5,250,4
8503,19-03-2024,1,5,350,5
2462,17-08-2023,24,5,500,4
7675,21-02-2024,4,5,600,4
8728,27-03-2024,2,5,900,5
2793,07-09-2023,22,5,400,5
4135,22-10-2023,3,5,250,4
4694,10-11-2023,9,5,700,5
1541,20-05-2023,27,5,200,5
3209,20-09-2023,22,5,400,5
6974,28-01-2024,2,5,900,5
7044,30-01-2024,4,5,600,4
28,03-01-2023,25,6,600,4
251,26-01-2023,17,6,600,5
601,26-02-2023,20,6,800,4
1198,21-04-2023,15,6,350,4
1819,15-06-2023,3,6,250,5
1999,05-07-2023,8,6,750,5
2648,02-09-2023,24,6,500,4
2834,08-09-2023,22,6,400,4
5923,22-12-2023,14,6,320,4
6512,11-01-2024,3,6,250,5
6564,13-01-2024,2,6,900,4
7175,05-02-2024,1,6,350,5
8327,13-03-2024,2,6,900,5
8331,13-03-2024,3,6,250,4
9845,27-07-2024,4,6,600,5
144,16-01-2023,24,6,500,5
1167,18-04-2023,1,6,350,5
3088,16-09-2023,24,6,500,4
3429,27-09-2023,23,6,250,4
4271,27-10-2023,4,6,600,4
7583,18-02-2024,2,6,900,4
7819,26-02-2024,4,6,600,5
8265,11-03-2024,1,6,350,4
1441,11-05-2023,10,6,1800,4
2351,07-08-2023,24,6,500,5
2804,07-09-2023,24,6,500,4
3793,09-10-2023,6,6,1200,4
10237,14-09-2024,1,6,350,4
1871,21-06-2023,22,6,400,4
3519,30-09-2023,23,6,250,4
900,24-03-2023,19,6,300,4
3878,12-10-2023,5,6,450,4
5791,18-12-2023,4,6,600,5
7290,08-02-2024,4,6,600,4
8401,15-03-2024,4,6,600,4
9280,15-05-2024,2,6,900,4
9477,08-06-2024,3,6,250,5
475,15-02-2023,23,7,250,4
1644,30-05-2023,24,7,500,5
1991,04-07-2023,14,7,320,4
3114,17-09-2023,24,7,500,5
3530,30-09-2023,24,7,500,5
3920,13-10-2023,11,7,550,5
4419,01-11-2023,10,7,1800,5
4553,05-11-2023,8,7,750,4
4908,17-11-2023,11,7,550,5
5186,27-11-2023,9,7,700,5
5481,07-12-2023,4,7,600,5
5653,12-12-2023,11,7,550,5
10284,20-09-2024,2,7,900,5
525,20-02-2023,22,7,400,4
1444,11-05-2023,27,7,200,4
4227,25-10-2023,4,7,600,5
4579,06-11-2023,7,7,1500,4
6149,29-12-2023,14,7,320,4
6913,26-01-2024,1,7,350,4
